country_en,capital_en,country_de,capital_de,country_ja,capital_ja
Afghanistan,Kabul,Afghanistan,Kabul,アフガニスタン,カーブル
Albania,Tirana,Albanien,Tirana,アルバニア,ティラナ
Algeria,Algiers,Algerien,Algier,アルジェリア,アルジェ
Andorra,Andorra la Vella,Andorra,Andorra la Vella,アンドラ,アンドラ・ラ・ベリャ
Angola,Luanda,Angola,Luanda,アンゴラ,ルアンダ
Antigua and Barbuda,St. John's,Antigua und Barbuda,Saint John’s,アンティグア・バーブーダ,セントジョンズ
Argentina,Buenos Aires,Argentinien,Buenos Aires,アルゼンチン,ブエノスアイレス
Armenia,Yerevan,Armenien,Jerewan,アルメニア,エレバン
Australia,Canberra,Australien,Canberra,オーストラリア,キャンベラ
Austria,Vienna,Österreich,Wien,オーストリア,ウィーン
Azerbaijan,Baku,Aserbaidschan,Baku,アゼルバイジャン,バクー
The Bahamas,Nassau,Bahamas,Nassau,バハマ,ナッソー
Bahrain,Manama,Bahrain,Manama,バーレーン,マナーマ
Bangladesh,Dhaka,Bangladesch,Dhaka,バングラデシュ,ダッカ
Barbados,Bridgetown,Barbados,Bridgetown,バルバドス,ブリッジタウン
Belarus,Minsk,Weißrussland,Minsk,ベラルーシ,ミンスク
Belgium,Brussels,Belgien,Brüssel,ベルギー,ブリュッセル
Belize,Belmopan,Belize,Belmopan,ベリーズ,ベルモパン
Benin,Porto-Novo,Benin,Porto-Novo,ベナン,ポルトノボ
Bhutan,Thimphu,Bhutan,Thimphu,ブータン,ティンプー
Bolivia,Sucre,Bolivien,Sucre,ボリビア,スクレ
Bosnia and Herzegovina,Sarajevo,Bosnien und Herzegowina,Sarajevo,ボスニア・ヘルツェゴビナ,サラエボ
Botswana,Gaborone,Botswana,Gaborone,ボツワナ,ハボローネ
Brazil,Brasília,Brasilien,Brasília,ブラジル,ブラジリア
Brunei,Bandar Seri Begawan,Brunei,Bandar Seri Begawan,ブルネイ,バンダルスリブガワン
Bulgaria,Sofia,Bulgarien,Sofia,ブルガリア,ソフィア
Burkina Faso,Ouagadougou,Burkina Faso,Ouagadougou,ブルキナファソ,ワガドゥグー
Burundi,Gitega,Burundi,Gitega,ブルンジ,ギテガ
Cape Verde,Praia,Kap Verde,Praia,カーボベルデ,プライア
Cambodia,Phnom Penh,Kambodscha,Phnom Penh,カンボジア,プノンペン
Cameroon,Yaoundé,Kamerun,Yaoundé,カメルーン,ヤウンデ
Canada,Ottawa,Kanada,Ottawa,カナダ,オタワ
Central African Republic,Bangui,Zentralafrikanische Republik,Bangui,中央アフリカ共和国,バンギ
Chad,N'Djamena,Tschad,N'Djamena,チャド,ンジャメナ
Chile,Santiago,Chile,Santiago,チリ,サンティアゴ
China,Beijing,China,Peking,中国,北京
Colombia,Bogotá,Kolumbien,Bogotá,コロンビア,ボゴタ
Comoros,Moroni,Komoren,Moroni,コモロ,モロニ
Democratic Republic of the Congo,Kinshasa,Demokratische Republik Kongo,Kinshasa,コンゴ民主共和国,キンシャサ
Republic of the Congo,Brazzaville,Republik Kongo,Brazzaville,コンゴ共和国,ブラザヴィル
Costa Rica,San José,Costa Rica,San José,コスタリカ,サンホセ
Ivory Coast,Yamoussoukro,Elfenbeinküste,Yamoussoukro,コートジボワール,ヤムスクロ
Croatia,Zagreb,Kroatien,Zagreb,クロアチア,ザグレブ
Cuba,Havana,Kuba,Havanna,キューバ,ハバナ
Cyprus,Nicosia,Republik Zypern,Nikosia,キプロス,ニコシア
Czech Republic,Prague,Tschechien,Prag,チェコ,プラハ
Denmark,Copenhagen,Dänemark,Kopenhagen,デンマーク,コペンハーゲン
Djibouti,Djibouti,Dschibuti,Dschibuti,ジブチ,ジブチ市
Dominica,Roseau,Dominica,Roseau,ドミニカ国,ロゾー
Dominican Republic,Santo Domingo,Dominikanische Republik,Santo Domingo,ドミニカ共和国,サントドミンゴ
Ecuador,Quito,Ecuador,Quito,エクアドル,キト
Egypt,Cairo,Ägypten,Kairo,エジプト,カイロ
El Salvador,San Salvador,El Salvador,San Salvador,エルサルバドル,サンサルバドル
Equatorial Guinea,Malabo,Äquatorialguinea,Malabo,赤道ギニア,マラボ
Eritrea,Asmara,Eritrea,Asmara,エリトリア,アスマラ
Estonia,Tallinn,Estland,Tallinn,エストニア,タリン
Eswatini,Mbabane,Eswatini,Mbabane,エスワティニ,	ムババーネ
Ethiopia,Addis Ababa,Äthiopien,Addis Abeba,エチオピア,アディスアベバ
Fiji,Suva,Fidschi,Suva,フィジー,スバ
Finland,Helsinki,Finnland,Helsinki,フィンランド,ヘルシンキ
France,Paris,Frankreich,Paris,フランス,パリ
